tSNE1,tSNE2,Cluster
15.3554930209424,-12.0539061154605,cluster6
3.2915786611379,39.6338020573208,cluster13
-7.44725262310766,-26.5047173640344,cluster6
-37.2771313913561,3.76882367503855,cluster14
30.6781974880325,7.01599551832258,cluster4
17.8029735285516,-5.77149934224974,cluster6
24.5092038144875,-9.45664299395621,cluster6
17.4784047293246,-9.50846401161918,cluster6
15.9136037161097,8.88281506534926,cluster4
-25.6434806741202,12.9919680028977,cluster4
2.3186034127697,39.6093147462371,cluster13
3.48579537938178,-11.1829001057207,cluster6
11.8863109786465,-12.4782957195684,cluster6
-43.2012933590755,8.65436629587071,cluster14
16.1487969412996,10.0353202628578,cluster4
14.1139048188473,14.0622859742986,cluster4
-30.3185682813689,14.0333712861437,cluster4
18.8017294013718,8.283080634841,cluster4
-45.1989334134696,-1.7590613024831,cluster17
-5.74308669265635,-23.8209865352437,cluster6
-25.9043423210816,-9.28104518481083,cluster6
12.1834961183658,24.5706868844135,cluster4
2.20267719068606,38.5007695171342,cluster13
13.6656595636594,10.6706364004911,cluster4
-41.1453068182633,10.9342392499356,cluster14
2.74259193670446,33.4707308063032,cluster13
10.3323765742724,3.75286308626461,cluster4
2.31589704037062,-14.8242559025395,cluster6
-8.52181875396962,-7.57734597766824,cluster17
6.70858979183935,-28.1110985201317,cluster6
-4.27289688796162,-20.2344023324327,cluster6
-33.9044811100363,-7.19728583622798,cluster17
14.8292702666401,13.3161712999749,cluster4
13.1318950797669,19.5849199410052,cluster4
-43.7649503103151,8.72979774531588,cluster14
19.9487492002804,-8.07813847329627,cluster6
-40.4318833247887,4.26647587829638,cluster14
9.13205763280167,-27.5477760665547,cluster6
-38.9394322505543,11.4161823153564,cluster14
-35.693383827018,-1.94706553871098,cluster14
9.42900424788056,-30.9299287381919,cluster6
36.054057228734,0.298113677698043,cluster3
9.18895569627598,-14.9211453625026,cluster6
-4.87744656870581,-26.8852411553992,cluster6
3.89687268384734,-9.26758699558102,cluster6
2.01469526929326,-19.8216435902061,cluster6
4.4092325108609,-7.29020258889894,cluster6
20.5596992550613,-2.31179863157035,cluster6
3.01757808091572,-11.8496824459591,cluster6
-38.4407642080638,7.11698222652898,cluster14
2.01544354223929,-23.1860723789664,cluster6
-36.4281834980791,-7.53641308113499,cluster17
-24.3808579077774,16.5826236703629,cluster4
-39.2636764705298,-6.25264510988443,cluster17
-36.3547194727181,-6.05446827029432,cluster17
7.48294317395063,-10.1594106749279,cluster6
16.2194601590751,-15.2899979275322,cluster6
4.19103058481072,38.417274743006,cluster13
-37.7628008545489,9.81298456724718,cluster14
-7.31686556344206,-29.6228561363344,cluster6
-44.0752510181616,1.3810384444789,cluster14
-45.9417972000235,0.944805653378033,cluster17
10.1453499557859,-26.843082498213,cluster6
10.8630239495599,-25.7784166036559,cluster6
31.5432163560292,6.78181138485026,cluster3
-29.9670861056361,6.35453944591647,cluster4
4.35073582157269,-2.89518598976451,cluster6
-39.1147769549415,-8.62836347113791,cluster17
15.3673940233169,-10.3944704921837,cluster6
11.1905510444077,-20.4662193211216,cluster6
6.01409301929579,-25.3748163623289,cluster6
-0.517914581035806,-19.2320263458178,cluster6
15.7996954976559,-17.937958397693,cluster6
38.6136073558336,6.41614478427692,cluster3
12.6556991774732,20.7111798133744,cluster4
19.2627368993412,2.88188629705634,cluster4
39.8329557185059,5.45359081416606,cluster3
-2.87830900013153,-18.3921383319972,cluster6
3.86231921983974,33.0991592514903,cluster13
11.7264528945177,2.14720781934749,cluster4
23.1442350170885,-8.57062586546474,cluster6
6.10487377169151,-32.0828183090278,cluster6
-42.0118905950901,7.52474043025589,cluster14
-39.4871590780451,10.2885921124526,cluster14
20.1163709143857,-3.1212010514821,cluster4
-27.1243119792362,13.2022823654884,cluster4
11.6783619186625,-5.67897968751212,cluster6
-40.6137720519311,11.9088319615459,cluster14
3.06618349263898,31.6102941171384,cluster13
11.1860374196778,-5.23708779157862,cluster6
12.9787881543291,14.5229762828304,cluster4
11.788438428924,30.9525467245803,cluster13
12.4205336145817,26.2091174332722,cluster13
4.43402609723486,-12.6665822704845,cluster6
-43.0792491392761,12.0063194142266,cluster14
